                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2744,                 3.6588,                   1.21,                 0.0722,                0.06044,                0.02799,                 0.0155,                 1.2584,                 3.2876,                 1.1615,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.0063,                 2.7653,                 1.0457,                0.51029,                0.52442,                0.47361,                0.31697,                 1.1412,                 1.6118,                 1.0972,             0.00011623,             0.00011623,             0.00011623
                      3,                0.95579,                 1.4672,                 1.0524,                0.79118,                0.89161,                0.90848,                0.70003,                 1.1199,                  1.635,                 1.0447,             0.00018192,             0.00018192,             0.00018192
                      4,                0.96751,                 1.1584,                0.99104,                0.73091,                0.82295,                0.77336,                0.57592,                 1.0856,                 1.7862,                 1.0152,             0.00024708,             0.00024708,             0.00024708
                      5,                0.95322,                0.96326,                0.98109,                0.74505,                0.84372,                0.87164,                0.67684,                 1.0262,                 1.5917,                 0.9955,             0.00031171,             0.00031171,             0.00031171
                      6,                0.93868,                0.76814,                0.93348,                0.52091,                0.85256,                0.88394,                0.67811,                 1.0312,                 1.6057,                0.98926,             0.00037582,             0.00037582,             0.00037582
                      7,                0.93275,                 0.9564,                0.95805,                0.83091,                0.90692,                0.97262,                0.77246,                0.98721,                 1.1657,                0.96669,              0.0004394,              0.0004394,              0.0004394
                      8,                0.92811,                0.72589,                0.96379,                0.84619,                0.78449,                0.91726,                0.73359,                0.95668,                0.94591,                0.96305,             0.00050245,             0.00050245,             0.00050245
                      9,                 0.9391,                0.77129,                0.95905,                0.67928,                0.72926,                0.75234,                0.58776,                0.97286,                 1.0509,                0.96797,             0.00056497,             0.00056497,             0.00056497
                     10,                 1.0269,                0.78469,                 1.0435,                 0.8441,                 0.8895,                 0.9175,                0.72894,                0.95967,                0.83174,                 0.9557,             0.00062696,             0.00062696,             0.00062696
                     11,                0.91142,                0.64084,                0.91776,                0.85578,                0.97802,                0.97428,                0.76148,                 1.0512,                0.88934,                 0.9946,             0.00068842,             0.00068842,             0.00068842
                     12,                0.96601,                0.73048,                0.97498,                0.93404,                0.92427,                0.95181,                0.73986,                 1.0811,                0.79542,                 1.0173,             0.00074936,             0.00074936,             0.00074936
                     13,                 0.9716,                0.65264,                0.96473,                0.89158,                0.94452,                0.96481,                0.75039,                 1.1661,                0.73052,                 1.0521,             0.00080977,             0.00080977,             0.00080977
                     14,                0.88584,                0.65204,                0.96673,                0.95263,                0.86142,                0.95329,                0.77607,                0.91256,                0.73808,                0.96441,             0.00086965,             0.00086965,             0.00086965
                     15,                0.92841,                0.71963,                 0.9654,                0.90071,                0.93895,                 0.9711,                0.78569,                0.88643,                 0.7412,                0.96604,               0.000929,               0.000929,               0.000929
                     16,                0.91643,                0.63566,                0.95017,                0.90071,                0.93895,                 0.9711,                0.78569,                0.88643,                 0.7412,                0.96604,             0.00098783,             0.00098783,             0.00098783
                     17,                0.94653,                0.66137,                0.95623,                0.96799,                  0.964,                0.98615,                0.77351,                 1.0529,                0.73847,                 1.0293,              0.0010461,              0.0010461,              0.0010461
                     18,                0.91125,                 0.6031,                0.93412,                 0.8829,                0.97658,                0.96688,                0.80622,                0.90358,                0.81687,                0.96323,              0.0011039,              0.0011039,              0.0011039
                     19,                0.83218,                0.57631,                0.92134,                 0.8829,                0.97658,                0.96688,                0.80622,                0.90358,                0.81687,                0.96323,              0.0011611,              0.0011611,              0.0011611
                     20,                0.87121,                0.59223,                0.91036,                0.94283,                0.95047,                0.99138,                0.82769,                0.80304,                0.57651,                0.91679,              0.0012178,              0.0012178,              0.0012178
                     21,                  0.967,                0.55416,                0.95544,                0.88367,                0.91664,                 0.9457,                 0.7732,                0.86668,                0.63219,                 0.9349,               0.001274,               0.001274,               0.001274
                     22,                0.83414,                0.59969,                0.91097,                0.88367,                0.91664,                 0.9457,                 0.7732,                0.86668,                0.63219,                 0.9349,              0.0013297,              0.0013297,              0.0013297
                     23,                0.72939,                0.53203,                0.86701,                0.76669,                0.87363,                0.77242,                0.61062,                   0.86,                0.82372,                0.93495,              0.0013848,              0.0013848,              0.0013848
                     24,                0.76131,                0.57238,                 0.9102,                0.76669,                0.87363,                0.77242,                0.61062,                   0.86,                0.82372,                0.93495,              0.0014394,              0.0014394,              0.0014394
                     25,                0.89241,                0.72034,                0.95654,                0.71759,                 0.8817,                0.74901,                0.60443,                0.80568,                 1.0116,                0.93572,              0.0014935,              0.0014935,              0.0014935
                     26,                0.83638,                0.76371,                0.94484,                0.71759,                 0.8817,                0.74901,                0.60443,                0.80568,                 1.0116,                0.93572,               0.001502,               0.001502,               0.001502
                     27,                0.75949,                0.75073,                0.90554,                0.93791,                0.95167,                0.97377,                0.80223,                0.79329,                0.64519,                0.92304,              0.0014954,              0.0014954,              0.0014954
                     28,                 0.8404,                0.62426,                0.94504,                0.93791,                0.95167,                0.97377,                0.80223,                0.79329,                0.64519,                0.92304,              0.0014888,              0.0014888,              0.0014888
                     29,                 0.8052,                0.58412,                 0.9323,                0.98674,                0.96154,                0.99137,                0.81625,                0.77735,                0.53977,                0.91084,              0.0014822,              0.0014822,              0.0014822
                     30,                0.78528,                0.60445,                0.93952,                0.98674,                0.96154,                0.99137,                0.81625,                0.77735,                0.53977,                0.91084,              0.0014756,              0.0014756,              0.0014756
                     31,                0.76312,                0.50453,                0.90096,                0.99449,                0.99185,                0.99454,                0.83386,                   0.79,                0.46708,                0.90749,               0.001469,               0.001469,               0.001469
                     32,                0.82658,                0.56767,                0.92669,                0.99449,                0.99185,                0.99454,                0.83386,                   0.79,                0.46708,                0.90749,              0.0014624,              0.0014624,              0.0014624
                     33,                0.72455,                0.54896,                0.90911,                0.95126,                0.93895,                0.98835,                  0.846,                0.75327,                0.55654,                0.88596,              0.0014558,              0.0014558,              0.0014558
                     34,                0.74439,                0.51786,                0.89452,                0.95126,                0.93895,                0.98835,                  0.846,                0.75327,                0.55654,                0.88596,              0.0014492,              0.0014492,              0.0014492
                     35,                0.85579,                 0.5794,                0.96085,                 0.9432,                0.98063,                0.99426,                0.86194,                0.74341,                0.51799,                0.88884,              0.0014426,              0.0014426,              0.0014426
                     36,                0.73405,                 0.5103,                0.87933,                 0.9432,                0.98063,                0.99426,                0.86194,                0.74341,                0.51799,                0.88884,               0.001436,               0.001436,               0.001436
                     37,                0.73959,                0.53857,                0.87818,                0.98109,                0.99451,                0.99473,                0.85238,                0.74906,                 0.4694,                0.89859,              0.0014294,              0.0014294,              0.0014294
                     38,                0.73234,                0.50612,                0.89591,                0.98109,                0.99451,                0.99473,                0.85238,                0.74906,                 0.4694,                0.89859,              0.0014228,              0.0014228,              0.0014228
                     39,                0.74934,                0.52638,                 0.8915,                0.99163,                0.98901,                0.99484,                0.86584,                0.73631,                0.45141,                0.89357,              0.0014161,              0.0014161,              0.0014161
                     40,                0.69258,                0.48529,                0.88692,                0.99163,                0.98901,                0.99484,                0.86584,                0.73631,                0.45141,                0.89357,              0.0014095,              0.0014095,              0.0014095
                     41,                0.69324,                0.51513,                0.87567,                0.98903,                0.99757,                0.99495,                0.86802,                0.74534,                0.43868,                0.89892,              0.0014029,              0.0014029,              0.0014029
                     42,                0.69728,                0.46755,                0.89312,                0.98903,                0.99757,                0.99495,                0.86802,                0.74534,                0.43868,                0.89892,              0.0013963,              0.0013963,              0.0013963
                     43,                0.65838,                0.46833,                0.87399,                0.99251,                0.98901,                0.99484,                0.88346,                0.71139,                0.47847,                0.88634,              0.0013897,              0.0013897,              0.0013897
                     44,                0.73353,                0.52429,                0.91526,                0.99251,                0.98901,                0.99484,                0.88346,                0.71139,                0.47847,                0.88634,              0.0013831,              0.0013831,              0.0013831
                     45,                0.71367,                0.51341,                0.88691,                 0.9837,                0.97619,                0.99495,                0.87002,                0.67861,                0.43229,                0.87286,              0.0013765,              0.0013765,              0.0013765
                     46,                0.70723,                0.43834,                0.89322,                 0.9837,                0.97619,                0.99495,                0.87002,                0.67861,                0.43229,                0.87286,              0.0013699,              0.0013699,              0.0013699
                     47,                0.73089,                0.46688,                0.90928,                0.92783,                0.98358,                0.99478,                0.89562,                0.65503,                0.41821,                0.86189,              0.0013633,              0.0013633,              0.0013633
                     48,                0.69454,                0.44676,                0.88852,                0.92783,                0.98358,                0.99478,                0.89562,                0.65503,                0.41821,                0.86189,              0.0013567,              0.0013567,              0.0013567
                     49,                0.72058,                0.47155,                0.89746,                0.98154,                      1,                  0.995,                0.88348,                0.68627,                0.41904,                0.86645,              0.0013501,              0.0013501,              0.0013501
                     50,                 0.6731,                0.43601,                0.86207,                0.98154,                      1,                  0.995,                0.88348,                0.68627,                0.41904,                0.86645,              0.0013435,              0.0013435,              0.0013435
                     51,                0.66619,                0.43136,                0.87434,                0.97903,                      1,                0.99484,                0.85268,                0.75097,                0.44769,                 0.8886,              0.0013369,              0.0013369,              0.0013369
                     52,                0.69125,                0.45735,                0.89616,                0.97903,                      1,                0.99484,                0.85268,                0.75097,                0.44769,                 0.8886,              0.0013303,              0.0013303,              0.0013303
                     53,                0.66306,                 0.4443,                 0.8795,                0.98331,                0.99796,                0.99495,                0.87449,                0.68104,                0.43302,                0.87043,              0.0013237,              0.0013237,              0.0013237
                     54,                0.60806,                0.40872,                0.85556,                0.98331,                0.99796,                0.99495,                0.87449,                0.68104,                0.43302,                0.87043,              0.0013171,              0.0013171,              0.0013171
                     55,                0.66183,                0.43587,                 0.8598,                0.98301,                0.99514,                  0.995,                0.89654,                0.64875,                0.39587,                0.85852,              0.0013105,              0.0013105,              0.0013105
                     56,                0.71561,                0.43514,                0.90794,                0.98301,                0.99514,                  0.995,                0.89654,                0.64875,                0.39587,                0.85852,              0.0013039,              0.0013039,              0.0013039
                     57,                0.67787,                0.42421,                0.90376,                0.98145,                0.99046,                  0.995,                0.90218,                0.60018,                0.38689,                 0.8495,              0.0012973,              0.0012973,              0.0012973
                     58,                 0.6807,                0.42065,                0.90485,                0.98145,                0.99046,                  0.995,                0.90218,                0.60018,                0.38689,                 0.8495,              0.0012907,              0.0012907,              0.0012907
                     59,                0.61971,                0.42482,                0.87288,                0.97819,                0.98776,                  0.995,                0.88959,                0.62063,                0.39734,                0.85793,              0.0012841,              0.0012841,              0.0012841
                     60,                0.66927,                0.43234,                0.88651,                0.97819,                0.98776,                  0.995,                0.88959,                0.62063,                0.39734,                0.85793,              0.0012775,              0.0012775,              0.0012775
                     61,                0.65659,                0.41993,                0.89119,                0.98155,                      1,                  0.995,                 0.8928,                0.57036,                0.38754,                0.84536,              0.0012709,              0.0012709,              0.0012709
                     62,                0.62277,                0.42898,                0.87002,                0.98155,                      1,                  0.995,                 0.8928,                0.57036,                0.38754,                0.84536,              0.0012643,              0.0012643,              0.0012643
                     63,                0.62244,                 0.4229,                 0.8649,                0.98807,                      1,                  0.995,                0.87135,                0.63387,                0.38725,                0.86165,              0.0012577,              0.0012577,              0.0012577
                     64,                0.66815,                0.40558,                0.89568,                0.98807,                      1,                  0.995,                0.87135,                0.63387,                0.38725,                0.86165,              0.0012511,              0.0012511,              0.0012511
                     65,                0.63659,                0.41523,                0.89477,                0.99098,                0.99767,                  0.995,                0.90716,                 0.5815,                 0.3547,                0.84872,              0.0012445,              0.0012445,              0.0012445
                     66,                0.59371,                0.39186,                0.89252,                0.99098,                0.99767,                  0.995,                0.90716,                 0.5815,                 0.3547,                0.84872,              0.0012379,              0.0012379,              0.0012379
                     67,                0.63721,                0.40952,                0.88807,                0.99037,                0.99685,                  0.995,                0.89395,                0.61322,                 0.3583,                0.84962,              0.0012313,              0.0012313,              0.0012313
                     68,                 0.7125,                 0.3948,                0.88738,                0.99037,                0.99685,                  0.995,                0.89395,                0.61322,                 0.3583,                0.84962,              0.0012247,              0.0012247,              0.0012247
                     69,                0.66672,                0.40312,                0.85867,                0.99567,                0.99616,                  0.995,                0.90381,                 0.5957,                0.36136,                0.84923,              0.0012181,              0.0012181,              0.0012181
                     70,                0.59043,                0.38577,                0.85895,                0.99567,                0.99616,                  0.995,                0.90381,                 0.5957,                0.36136,                0.84923,              0.0012115,              0.0012115,              0.0012115
                     71,                0.60589,                0.38496,                0.86572,                0.99151,                0.99596,                  0.995,                0.89297,                0.58246,                0.36756,                0.84758,              0.0012049,              0.0012049,              0.0012049
                     72,                0.70875,                0.41384,                 0.8872,                0.99151,                0.99596,                  0.995,                0.89297,                0.58246,                0.36756,                0.84758,              0.0011983,              0.0011983,              0.0011983
                     73,                0.63337,                0.39634,                0.84607,                 0.9925,                0.99451,                0.99495,                0.89389,                0.60664,                0.36921,                0.85153,              0.0011917,              0.0011917,              0.0011917
                     74,                0.60141,                0.39153,                0.86365,                 0.9925,                0.99451,                0.99495,                0.89389,                0.60664,                0.36921,                0.85153,              0.0011851,              0.0011851,              0.0011851
                     75,                0.64695,                0.39547,                0.86103,                0.99211,                0.99451,                0.99495,                0.90471,                0.55079,                0.34799,                0.84445,              0.0011785,              0.0011785,              0.0011785
                     76,                0.57054,                0.37976,                0.86655,                0.99211,                0.99451,                0.99495,                0.90471,                0.55079,                0.34799,                0.84445,              0.0011719,              0.0011719,              0.0011719
                     77,                0.59044,                0.37278,                0.85712,                0.98974,                0.99774,                  0.995,                0.89406,                0.58544,                0.35144,                0.85256,              0.0011653,              0.0011653,              0.0011653
                     78,                0.64615,                 0.3905,                0.86781,                0.98974,                0.99774,                  0.995,                0.89406,                0.58544,                0.35144,                0.85256,              0.0011587,              0.0011587,              0.0011587
                     79,                0.58053,                0.38656,                0.84704,                0.98945,                0.99987,                  0.995,                0.91197,                0.54879,                0.35187,                0.84593,              0.0011521,              0.0011521,              0.0011521
                     80,                0.62098,                0.39449,                 0.8434,                0.98945,                0.99987,                  0.995,                0.91197,                0.54879,                0.35187,                0.84593,              0.0011455,              0.0011455,              0.0011455
                     81,                0.56525,                0.37967,                0.84448,                0.98941,                      1,                  0.995,                0.90488,                0.54258,                0.35362,                0.84104,              0.0011389,              0.0011389,              0.0011389
                     82,                0.53228,                 0.3809,                 0.8207,                0.98941,                      1,                  0.995,                0.90488,                0.54258,                0.35362,                0.84104,              0.0011323,              0.0011323,              0.0011323
                     83,                0.57114,                 0.3728,                0.83905,                 0.9911,                      1,                  0.995,                0.91697,                0.51626,                0.34642,                0.83943,              0.0011257,              0.0011257,              0.0011257
                     84,                0.64142,                0.37619,                0.86048,                 0.9911,                      1,                  0.995,                0.91697,                0.51626,                0.34642,                0.83943,              0.0011191,              0.0011191,              0.0011191
                     85,                0.62726,                0.39468,                0.90004,                 0.9905,                      1,                  0.995,                0.90343,                0.50496,                0.34185,                0.83313,              0.0011125,              0.0011125,              0.0011125
                     86,                0.62594,                0.38656,                0.88439,                 0.9905,                      1,                  0.995,                0.90343,                0.50496,                0.34185,                0.83313,              0.0011059,              0.0011059,              0.0011059
                     87,                0.57647,                0.37357,                 0.8619,                0.98955,                0.99955,                  0.995,                0.91612,                0.53932,                0.33172,                0.84164,              0.0010993,              0.0010993,              0.0010993
                     88,                0.59639,                 0.3634,                0.88598,                0.98955,                0.99955,                  0.995,                0.91612,                0.53932,                0.33172,                0.84164,              0.0010927,              0.0010927,              0.0010927
                     89,                0.56557,                0.36001,                0.83266,                0.98074,                0.99376,                  0.995,                0.91869,                0.53808,                0.32575,                0.84293,              0.0010861,              0.0010861,              0.0010861
                     90,                0.54136,                0.35181,                 0.8494,                0.98074,                0.99376,                  0.995,                0.91869,                0.53808,                0.32575,                0.84293,              0.0010795,              0.0010795,              0.0010795
                     91,                0.56044,                0.37617,                0.85091,                0.98141,                0.99395,                  0.995,                0.91383,                0.51714,                0.32052,                0.83645,              0.0010729,              0.0010729,              0.0010729
                     92,                0.59081,                0.36043,                0.87945,                0.98141,                0.99395,                  0.995,                0.91383,                0.51714,                0.32052,                0.83645,              0.0010663,              0.0010663,              0.0010663
                     93,                0.52587,                0.33762,                0.84213,                0.98468,                      1,                  0.995,                0.91813,                0.47324,                0.30604,                0.82649,              0.0010597,              0.0010597,              0.0010597
                     94,                0.56102,                 0.3599,                0.85563,                0.98468,                      1,                  0.995,                0.91813,                0.47324,                0.30604,                0.82649,              0.0010531,              0.0010531,              0.0010531
                     95,                0.52806,                0.35627,                0.86913,                0.98797,                      1,                  0.995,                0.92085,                 0.4622,                0.29023,                0.82311,              0.0010465,              0.0010465,              0.0010465
                     96,                0.52575,                0.35793,                0.85126,                0.98797,                      1,                  0.995,                0.92085,                 0.4622,                0.29023,                0.82311,              0.0010399,              0.0010399,              0.0010399
                     97,                0.49755,                0.34066,                0.81957,                0.98828,                      1,                  0.995,                0.92277,                0.43872,                0.30114,                0.81943,              0.0010333,              0.0010333,              0.0010333
                     98,                0.51226,                0.35187,                0.84539,                0.98828,                      1,                  0.995,                0.92277,                0.43872,                0.30114,                0.81943,              0.0010267,              0.0010267,              0.0010267
                     99,                0.52218,                0.34582,                0.83764,                0.98006,                      1,                0.99489,                0.94436,                0.44413,                  0.304,                0.82128,              0.0010201,              0.0010201,              0.0010201
                    100,                0.48535,                0.33115,                0.83997,                0.98006,                      1,                0.99489,                0.94436,                0.44413,                  0.304,                0.82128,              0.0010135,              0.0010135,              0.0010135
                    101,                0.49234,                0.33443,                 0.8379,                0.98004,                      1,                0.99489,                0.95369,                0.42491,                0.29094,                0.81533,              0.0010069,              0.0010069,              0.0010069
                    102,                0.44772,                 0.3112,                0.82327,                0.98004,                      1,                0.99489,                0.95369,                0.42491,                0.29094,                0.81533,              0.0010003,              0.0010003,              0.0010003
                    103,                0.45203,                0.33055,                0.84653,                0.99168,                0.99384,                0.99495,                 0.9355,                0.42609,                0.29041,                0.81658,             0.00099367,             0.00099367,             0.00099367
                    104,                0.54417,                0.35572,                0.86071,                0.99168,                0.99384,                0.99495,                 0.9355,                0.42609,                0.29041,                0.81658,             0.00098706,             0.00098706,             0.00098706
                    105,                0.50774,                0.33527,                0.82008,                 0.9847,                      1,                0.99489,                0.94802,                0.40909,                0.29436,                0.81506,             0.00098046,             0.00098046,             0.00098046
                    106,                0.48257,                0.32784,                0.83766,                 0.9847,                      1,                0.99489,                0.94802,                0.40909,                0.29436,                0.81506,             0.00097386,             0.00097386,             0.00097386
                    107,                0.51156,                0.33806,                0.83612,                0.98603,                0.99935,                0.99489,                0.94612,                0.39998,                0.29027,                 0.8122,             0.00096726,             0.00096726,             0.00096726
                    108,                0.48089,                0.32858,                0.83946,                0.98603,                0.99935,                0.99489,                0.94612,                0.39998,                0.29027,                 0.8122,             0.00096066,             0.00096066,             0.00096066
                    109,                0.51158,                0.35093,                0.84753,                0.98549,                      1,                0.99489,                0.94188,                 0.4099,                0.29255,                0.81084,             0.00095406,             0.00095406,             0.00095406
                    110,                0.45708,                0.32588,                0.82875,                0.98549,                      1,                0.99489,                0.94188,                 0.4099,                0.29255,                0.81084,             0.00094746,             0.00094746,             0.00094746
                    111,                0.51746,                0.34873,                0.86382,                0.98171,                      1,                0.99489,                0.95035,                0.41987,                0.28032,                0.81191,             0.00094085,             0.00094085,             0.00094085
                    112,                 0.4876,                0.34881,                0.83985,                0.98171,                      1,                0.99489,                0.95035,                0.41987,                0.28032,                0.81191,             0.00093425,             0.00093425,             0.00093425
                    113,                0.48396,                0.33718,                0.88646,                0.98567,                      1,                  0.995,                0.96881,                0.38752,                0.27389,                0.80523,             0.00092765,             0.00092765,             0.00092765
                    114,                0.51959,                0.38075,                0.84817,                0.98567,                      1,                  0.995,                0.96881,                0.38752,                0.27389,                0.80523,             0.00092105,             0.00092105,             0.00092105
                    115,                0.49489,                0.36408,                0.83523,                0.98682,                      1,                  0.995,                0.95342,                0.43022,                0.28799,                0.81013,             0.00091445,             0.00091445,             0.00091445
                    116,                0.47805,                0.32574,                0.84153,                0.98682,                      1,                  0.995,                0.95342,                0.43022,                0.28799,                0.81013,             0.00090785,             0.00090785,             0.00090785
                    117,                0.49629,                0.33184,                0.82221,                0.98838,                      1,                  0.995,                0.95104,                0.42613,                0.29318,                0.81074,             0.00090125,             0.00090125,             0.00090125
                    118,                 0.4467,                0.31313,                0.83159,                0.98838,                      1,                  0.995,                0.95104,                0.42613,                0.29318,                0.81074,             0.00089465,             0.00089465,             0.00089465
                    119,                0.51045,                0.32471,                0.83667,                0.98989,                0.99915,                  0.995,                0.95888,                0.40074,                0.29387,                0.80853,             0.00088804,             0.00088804,             0.00088804
                    120,                0.52689,                0.35099,                0.86687,                0.98989,                0.99915,                  0.995,                0.95888,                0.40074,                0.29387,                0.80853,             0.00088144,             0.00088144,             0.00088144
                    121,                0.50168,                 0.3343,                0.84736,                 0.9894,                0.99875,                  0.995,                0.94772,                0.38689,                0.29273,                0.80795,             0.00087484,             0.00087484,             0.00087484
                    122,                0.50508,                 0.3332,                 0.8499,                 0.9894,                0.99875,                  0.995,                0.94772,                0.38689,                0.29273,                0.80795,             0.00086824,             0.00086824,             0.00086824
                    123,                0.49928,                0.34335,                0.85273,                0.98931,                0.99628,                  0.995,                0.95555,                0.39079,                0.29053,                0.80929,             0.00086164,             0.00086164,             0.00086164
                    124,                0.45557,                0.31746,                0.83657,                0.98931,                0.99628,                  0.995,                0.95555,                0.39079,                0.29053,                0.80929,             0.00085504,             0.00085504,             0.00085504
                    125,                0.51256,                0.34133,                0.84493,                 0.9893,                0.99745,                  0.995,                 0.9684,                0.36756,                0.27996,                0.80605,             0.00084844,             0.00084844,             0.00084844
                    126,                 0.4419,                0.31359,                0.81072,                 0.9893,                0.99745,                  0.995,                 0.9684,                0.36756,                0.27996,                0.80605,             0.00084184,             0.00084184,             0.00084184
                    127,                0.49849,                0.32864,                0.85976,                0.98128,                      1,                 0.9919,                0.95466,                0.36968,                0.28127,                0.80408,             0.00083523,             0.00083523,             0.00083523
                    128,                0.48483,                0.32015,                0.81714,                0.98128,                      1,                 0.9919,                0.95466,                0.36968,                0.28127,                0.80408,             0.00082863,             0.00082863,             0.00082863
                    129,                0.46129,                0.32601,                0.82747,                0.98796,                      1,                  0.995,                0.96344,                0.34748,                0.27501,                0.80092,             0.00082203,             0.00082203,             0.00082203
                    130,                0.45104,                0.33182,                0.86653,                0.98796,                      1,                  0.995,                0.96344,                0.34748,                0.27501,                0.80092,             0.00081543,             0.00081543,             0.00081543
